ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
New Horizon Remodeling Inc.*|*B20250187220*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251393755*|*Jul  1 2025 10:45AM*|*1309 YOUNGS AVE*|**|*SACRAMENTO*|*CA*|*United States*|*95838*|*1309 YOUNGS AVE*|**|**|*SACRAMENTO*|*CA*|*United States*|*95838*|**|**|**|**|**|**|**|*RESIDENTIAL REMODELING
NEW NORTH RODEO, L.P.*|*B20250188475*|*07/01/2025*|*DELAWARE*|*Active*|*Good*|*Limited Partnership - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*249 LYONS PLAIN ROAD*|**|*WESTON*|*CT*|*United States*|*06883*|*249 LYONS PLAIN ROAD*|**|**|*WESTON*|*CT*|*United States*|*06883*|*C/O CORPORATION SERVICE COMPANY*|*251 LITTLE FALLS DRIVE*|*WILMINGTON*|*DE*|*United States*|*19808*|**|*
New Path Properties LLC*|*B20250190267*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*29303 PACIFIC STREET*|**|*HAYWARD*|*CA*|*United States*|*94544*|*29303 PACIFIC STREET*|**|**|*HAYWARD*|*CA*|*United States*|*94544*|**|**|**|**|**|**|*One Manager*|*
NEWARK BASKETBALL ASSOCIATION INC.*|*B20250186925*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*24195 AMARANTH LOOP*|**|*HAYWARD*|*CA*|*United States*|*94541*|*24195 AMARANTH LOOP*|**|**|*HAYWARD*|*CA*|*United States*|*94541*|**|**|**|**|**|**|**|*
NEWHILLS INVESTMENT LLC*|*B20250189705*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*88 LESSAY*|**|*NEWPORT COAST*|*CA*|*United States*|*92657*|*14005 GIANT FOREST LOOP*|**|**|*CHINO HILLS*|*CA*|*United States*|*91709*|**|**|**|**|**|**|*More Than One Manager*|*
NewSpace Remodeling LLC*|*B20250188070*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251402073*|*Jul  2 2025 10:43AM*|*908 S MARGUERITA AVE APT 6*|**|*ALHAMBRA*|*CA*|*United States*|*91803*|*908 S MARGUERITA AVE APT 6*|**|**|*ALHAMBRA*|*CA*|*United States*|*91803*|**|**|**|**|**|**|*One Manager*|*CONSTRUCTION
Nexa Global Trade*|*B20250191560*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9180 ALABAMA ST*|*#103*|*REDLANDS*|*CA*|*United States*|*92374*|*9180 ALABAMA ST*|*#103*|**|*REDLANDS*|*CA*|*United States*|*92374*|**|**|**|**|**|**|**|*
NEXANOVA HFQ INC*|*B20250192358*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251413963*|*Jul  3 2025  5:49PM*|*120 VANTIS SUITE 300*|**|*ALISO VIEJO*|*CA*|*United States*|*92656*|*120 VANTIS SUITE 300*|**|**|*ALISO VIEJO*|*CA*|*United States*|*92656*|**|**|**|**|**|**|**|*trade
NexFrame Construction LLC*|*B20250186670*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*523 W SCHOOL ST*|**|*COMPTON*|*CA*|*United States*|*90220*|*523 W SCHOOL ST*|**|**|*COMPTON*|*CA*|*United States*|*90220*|**|**|**|**|**|**|*One Manager*|*
NexGEN Legacy*|*B20250191495*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251412632*|*Jul  3 2025  2:44PM*|*15206 LEFFINGWELL ROAD*|**|*LA MIRADA*|*CA*|*United States*|*90638*|*15206 LEFFINGWELL ROAD*|**|**|*LA MIRADA*|*CA*|*United States*|*90638*|**|**|**|**|**|**|**|*
NexGen Ultrasound LLC*|*B20250188443*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1232 GRAND JUNCTION WAY*|**|*ROSEVILLE*|*CA*|*United States*|*95747*|*1232 GRAND JUNCTION WAY*|**|**|*ROSEVILLE*|*CA*|*United States*|*95747*|**|**|**|**|**|**|*All LLC Member(s)*|*
Nexora Biotech*|*B20250189725*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*100 SPECTRUM CENTER DR*|**|*IRVINE*|*CA*|*United States*|*92618*|*100 SPECTRUM CENTER DR*|**|**|*IRVINE*|*CA*|*United States*|*92618*|**|**|**|**|**|**|**|*
Next Door Real Estate Group Inc.*|*B20250192243*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251415765*|*Jul  4 2025  4:34PM*|*12245 RADIANCE DR*|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91739*|*PO BOX 4043*|**|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91739*|*12245 RADIANCE DRIVE*|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91729*|**|*Real estate sales, property management and short term rentals
NextBays Global Link Inc*|*B20250192032*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251413477*|*Jul  3 2025  4:20PM*|*1136 CADILLAC CT*|**|*MILPITAS*|*CA*|*United States*|*95035*|*1136 CADILLAC CT*|**|**|*MILPITAS*|*CA*|*United States*|*95035*|**|**|**|**|**|**|**|*CONSULTING
NextCircuit*|*B20250192072*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7190 SUNSET BLVD*|*1024*|*HOLLYWOOD*|*CA*|*United States*|*90046*|*7190 SUNSET BLVD*|*1024*|**|*HOLLYWOOD*|*CA*|*United States*|*90046*|**|**|**|**|**|**|**|*
NextDoor Acres LLC*|*B20250187643*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*630 W QUEEN ST UNIT 9*|**|*INGLEWOOD*|*CA*|*United States*|*90301*|*630 W QUEEN ST UNIT 9*|**|**|*INGLEWOOD*|*CA*|*United States*|*90301*|**|**|**|**|**|**|*All LLC Member(s)*|*
NextEra Health Insurance Agency LLC*|*B20250186742*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251407544*|*Jul  2 2025  8:16PM*|*44426 KATIE COURT*|**|*TEMECULA*|*CA*|*United States*|*92592*|*44426 KATIE COURT*|**|**|*TEMECULA*|*CA*|*United States*|*92592*|*44426 KATIE COURT*|**|*TEMECULA*|*CA*|*United States*|*92592*|*One Manager*|*General Agency - Life, Health, and Accidental Insurance Producer
NextEST Development, LLC*|*B20250187370*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251397049*|*Jul  1 2025  2:40PM*|*18714 NATHAN HILL DR.*|**|*SANTA CLARITA*|*CA*|*United States*|*91351*|*18714 NATHAN HILL DR.*|**|**|*SANTA CLARITA*|*CA*|*United States*|*91351*|*18714 NATHAN HILL DR.*|**|*SANTA CLARITA*|*CA*|*United States*|*91351*|*One Manager*|*Real Estate Acquisition and Development
NextUp Soccer LLC*|*B20250188035*|*06/30/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*187 BRYANT STREET*|**|*PALO ALTO*|*CA*|*United States*|*94301*|*187 BRYANT STREET*|**|**|*PALO ALTO*|*CA*|*United States*|*94301*|*187 BRYANT STREET*|**|*PALO ALTO*|*CA*|*United States*|*94301*|**|*
Nextwave. Barbershop Inc.*|*B20250191768*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1920 N. LAKE AVENUE*|**|*ALTADENA*|*CA*|*United States*|*91001*|*1920 N. LAKE AVENUE*|**|**|*ALTADENA*|*CA*|*United States*|*91001*|**|**|**|**|**|**|**|*
NEXUS ESTATE LLC*|*B20250188565*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6920 SEPULVEDA BLVD APT 115*|**|*VAN NUYS*|*CA*|*United States*|*91405*|*6920 SEPULVEDA BLVD APT 115*|**|**|*VAN NUYS*|*CA*|*United States*|*91405*|**|**|**|**|**|**|*All LLC Member(s)*|*
Nexus Innovations and Solutions LLC*|*B20250192140*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251410849*|*Jul  3 2025 11:53AM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Any lawful purpose
NEXUS TRANSPORTATION CONSULTING LLC*|*B20250186576*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
nexVortex, LLC*|*B20250191404*|*07/02/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*510 SPRING STREET*|*SUITE 250*|*HERNDON*|*VA*|*United States*|*20170*|*510 SPRING STREET*|*SUITE 250*|**|*HERNDON*|*VA*|*United States*|*20170*|**|**|**|**|**|**|**|*
NexWin Capital Corp.*|*B20250175727*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*360 E 1ST STREET*|*355*|*TUSTIN*|*CA*|*United States*|*92780*|*360 E 1ST STREET*|*355*|**|*TUSTIN*|*CA*|*United States*|*92780*|**|**|**|**|**|**|**|*
Nguyen Architecture Inc*|*B20250187470*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251398069*|*Jul  1 2025  3:57PM*|*8392 TULIPWOOD CIR*|**|*WESTMINSTER*|*CA*|*United States*|*92683*|*8392 TULIPWOOD CIR*|**|**|*WESTMINSTER*|*CA*|*United States*|*92683*|*8392 TULIPWOOD CIR*|**|*WESTMINSTER*|*CA*|*United States*|*92683*|**|*Architecture
NGWA DEVELOPMENTS ASSOCIATION INLAND EMPIRE CALIFORNIA Corporation*|*B20250187605*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8814 S WESTERN AVE*|**|*LOS ANGELES*|*CA*|*United States*|*90047*|*8814 S WESTERN AVE*|**|**|*LOS ANGELES*|*CA*|*United States*|*90047*|**|**|**|**|**|**|**|*
Niatteru LLC*|*B20250186383*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251390909*|*Jun 30 2025 10:17PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Any lawful purpose
Niblee LLC*|*B20250186953*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*11894 WHEATLAND DRIVE*|**|*GRASS VALLEY*|*CA*|*United States*|*95949*|*11894 WHEATLAND DRIVE*|**|**|*GRASS VALLEY*|*CA*|*United States*|*95949*|**|**|**|**|**|**|*One Manager*|*
NICKS NAPA, INC*|*B20250189637*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*807 BAYRIDGE PL*|**|*FAIRFIELD*|*CA*|*United States*|*94534*|*807 BAYRIDGE PL*|**|**|*FAIRFIELD*|*CA*|*United States*|*94534*|**|**|**|**|**|**|**|*
Nicole Dunn Real Estate LLC*|*B20250187427*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251406297*|*Jul  2 2025  3:53PM*|*42630 LIMA HALL*|**|*BERMUDA DUNES*|*CA*|*United States*|*92203*|*42630 LIMA HALL*|**|**|*BERMUDA DUNES*|*CA*|*United States*|*92203*|**|**|**|**|**|**|*One Manager*|*Real Estate
Nicole Stephens Consulting LLC*|*B20250191448*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3145 WYNWOOD CT*|**|*ESCONDIDO*|*CA*|*United States*|*92027*|*3145 WYNWOOD CT*|**|**|*ESCONDIDO*|*CA*|*United States*|*92027*|**|**|**|**|**|**|*All LLC Member(s)*|*
Nicole Whitten Design LLC*|*B20250186423*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1991 16TH AVENUE*|**|*SAN FRANCISCO*|*CA*|*United States*|*94116*|*1991 16TH AVENUE*|**|**|*SAN FRANCISCO*|*CA*|*United States*|*94116*|**|**|**|**|**|**|*All LLC Member(s)*|*
Nightbird Ministries*|*B20250186360*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Religious*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7823 S MAIN ST*|*209*|*LOS ANGELES*|*CA*|*United States*|*90003*|*7823 S MAIN ST*|*209*|**|*LOS ANGELES*|*CA*|*United States*|*90003*|**|**|**|**|**|**|**|*
NIGHTS IN STEREO LLC*|*B20250186872*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1327 N KINGSLEY DR APT 3*|**|*LOS ANGELES*|*CA*|*United States*|*90027*|*1327 N KINGSLEY DR APT 3*|**|**|*LOS ANGELES*|*CA*|*United States*|*90027*|**|**|**|**|**|**|*All LLC Member(s)*|*
Nika White Consulting LLC*|*B20250186462*|*06/30/2025*|*SOUTH CAROLINA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5 DOUGLAS DRIVE*|**|*GREENVILLE*|*SC*|*United States*|*29605*|*PO BOX 8995*|**|**|*GREENVILLE*|*SC*|*United States*|*29604*|**|**|**|**|**|**|**|*
NIKOLIC GROUP INC*|*B20250189531*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251405247*|*Jul  2 2025  3:30PM*|*7440 SEPULVEDA BLVD*|*229*|*VAN NUYS*|*CA*|*United States*|*91405*|*7440 SEPULVEDA BLVD*|*229*|**|*VAN NUYS*|*CA*|*United States*|*91405*|*7440 SEPULVEDA BLVD*|*229*|*VAN NUYS*|*CA*|*United States*|*91405*|**|*MARKETING AND ADVERTISING
NIKS GROUP*|*B20250189756*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251406065*|*Jul  2 2025  3:34PM*|*611 N HOWARD ST*|*APT 109*|*GLENDALE*|*CA*|*United States*|*91206*|*611 N HOWARD ST*|*APT 109*|**|*GLENDALE*|*CA*|*United States*|*91206*|*611 N HOWARD ST*|*APT 109*|*GLENDALE*|*CA*|*United States*|*91206*|**|*TRANSPORTATION
Nimble Security, Inc.*|*B20250190891*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Nimbus Core LLC*|*B20250186763*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5779 E. TARPEY DR*|**|*FRESNO*|*CA*|*United States*|*93727*|*5779 E. TARPEY DR*|**|**|*FRESNO*|*CA*|*United States*|*93727*|**|**|**|**|**|**|*One Manager*|*
Nimbus House LLC*|*B20250162249*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*BISHOP RANCH 3*|**|*SAN RAMON*|*CA*|*United States*|*94583*|*BISHOP RANCH 3*|**|**|*SAN RAMON*|*CA*|*United States*|*94583*|**|**|**|**|**|**|*One Manager*|*
NINE PLUS HOLDINGS, LLC*|*B20250190952*|*07/02/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*33355 LUCKY RIDGE PLACE*|**|*COARSEGOLD*|*CA*|*United States*|*93614*|*33355 LUCKY RIDGE PLACE*|**|**|*COARSEGOLD*|*CA*|*United States*|*93614*|**|**|**|**|**|**|**|*
NINE PLUS HOME SOLUTIONS, LLC*|*B20250190924*|*07/02/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*33355 LUCKY RIDGE PLACE*|**|*COARSEGOLD*|*CA*|*United States*|*93614*|*33355 LUCKY RIDGE PLACE*|**|**|*COARSEGOLD*|*CA*|*United States*|*93614*|**|**|**|**|**|**|**|*
NinetySix Creative LLC*|*B20250190458*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Ninja Kitty Productions LLC*|*B20250187771*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2221 OCEAN AVENUE, #307*|**|*SANTA MONICA*|*CA*|*United States*|*90405*|*20700 VENTURA BLVD*|*SUITE #235*|**|*WOODLAND HILLS*|*CA*|*United States*|*91364*|**|**|**|**|**|**|*All LLC Member(s)*|*
Ninos same day ac and heat LLC*|*B20250192325*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3300 HARRISON*|*SUITE 3*|*RIVERSIDE*|*CA*|*United States*|*92503*|*3300 HARRISON*|*SUITE 3*|**|*RIVERSIDE*|*CA*|*United States*|*92503*|**|**|**|**|**|**|*All LLC Member(s)*|*
Nirvana Links LLC*|*B20250188114*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*540 N CENTRAL AVE APT 516*|**|*GLENDALE*|*CA*|*United States*|*91203*|*540 N CENTRAL AVE APT 516*|**|**|*GLENDALE*|*CA*|*United States*|*91203*|**|**|**|**|**|**|*All LLC Member(s)*|*
NKIV LLC*|*B20250190095*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*30 NORTH RAYMOND AVE.*|*SUITE 402*|*PASADENA*|*CA*|*United States*|*91103*|*30 NORTH RAYMOND AVE.*|*SUITE 402*|**|*PASADENA*|*CA*|*United States*|*91103*|**|**|**|**|**|**|*All LLC Member(s)*|*
NKN777 INC*|*B20250189750*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251404466*|*Jul  2 2025  1:26PM*|*1307 E HARVARD ST*|**|*GLENDALE*|*CA*|*United States*|*91205*|*1307 E HARVARD ST*|**|**|*GLENDALE*|*CA*|*United States*|*91205*|*1307 E HARVARD ST*|**|*GLENDALE*|*CA*|*United States*|*91205*|**|*Services
NKSFB - Qualified Peregrine, LLC*|*B20250188590*|*07/01/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20251406491*|*Jul  2 2025  4:11PM*|*10960 WILSHIRE BLVD., 5TH FLOOR*|**|*LOS ANGELES*|*CA*|*United States*|*90024*|*10960 WILSHIRE BLVD., 5TH FLOOR*|**|**|*LOS ANGELES*|*CA*|*United States*|*90024*|**|**|**|**|**|**|**|*Investment
No Gloves Just Fades LLC*|*B20250165114*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*119 PARAMATTA DRIVE*|**|*PATTERSON*|*CA*|*United States*|*95363*|*119 PARAMATTA DRIVE*|**|**|*PATTERSON*|*CA*|*United States*|*95363*|**|**|**|**|**|**|*One Manager*|*
NO ID INC*|*B20250186351*|*07/01/2025*|*TEXAS*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*233 VIKING AVE*|**|*BREA*|*CA*|*United States*|*92821*|*233 VIKING AVE*|**|**|*BREA*|*CA*|*United States*|*92821*|*233 VIKING AVE*|**|*BREA*|*CA*|*United States*|*92821*|**|*
No Sleep or Dont Eat LLC*|*B20250190135*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251410432*|*Jul  3 2025 11:14AM*|*407 S CASWELL AVE*|**|*COMPTON*|*CA*|*United States*|*90220*|*407 S CASWELL AVE*|**|**|*COMPTON*|*CA*|*United States*|*90220*|*407 S CASWELL AVE*|**|*COMPTON*|*CA*|*United States*|*90220*|*All LLC Member(s)*|*Designing clothes, fashion, and apparel.
NOBEL HANDS LEGACY LLC*|*B20250188066*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*879 W 190TH*|*400*|*GARDENA*|*CA*|*United States*|*90248*|*879 W 190TH*|*400*|**|*GARDENA*|*CA*|*United States*|*90248*|**|**|**|**|**|**|*More Than One Manager*|*
NOBILIS LOGISTICS LLC*|*B20250189559*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*45574 SANCROFT AVE*|**|*LANCASTER*|*CA*|*United States*|*93535*|*45574 SANCROFT AVE*|**|**|*LANCASTER*|*CA*|*United States*|*93535*|**|**|**|**|**|**|*One Manager*|*
Noctis Insurance Agency, LLC*|*B20250190922*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251416828*|*Jul  5 2025  2:23PM*|*1777 CLEMENT AVE*|*APT 469*|*ALAMEDA*|*CA*|*United States*|*94501*|*1777 CLEMENT AVE*|*APT 469*|**|*ALAMEDA*|*CA*|*United States*|*94501*|*1777 CLEMENT AVE*|*APT 469*|*ALAMEDA*|*CA*|*United States*|*94501*|*One Manager*|*California insurance brokerage
NOHO FLOORING & CONSTRUCTION INC*|*B20250182316*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6530 CHARLSESWORTH AVE*|**|*NORTH HOLYWOD*|*CA*|*United States*|*91606*|*6530 CHARLSESWORTH AVE*|**|**|*NORTH HOLYWOD*|*CA*|*United States*|*91606*|**|**|**|**|**|**|**|*
